"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"RGH Enterprises, Inc.","OH","Health Plan","4230","01/13/2014","Theft","Network Server","No","Computer hackers installed malware that intercepted the electronic protected health information (ePHI) of approximately 4,230 individuals using the covered entity's (CE's) website.  The ePHI included names, dates of birth, phone numbers, shipping and billing addresses, email addresses, credit card issuers, expiration dates, the last 4 digits of credit card numbers, account numbers, primary physicians, diagnoses, order histories, and health insurers.  Following the breach, the CE removed the malware from the affected computer servers, migrated the website to non-compromised "
"Network Pharmacy Knoxville","TN","Healthcare Provider","9602","01/15/2014","Theft","Laptop","No","\N"
"Alamo Consumer Direct, LLC","TX","","","01/16/2014","","","No",""
"Saint Francis Hospital and Medical Center","CT","Healthcare Provider","858","01/16/2014","Theft","Paper/Films","No","\N"
"Sentara Healthcare","VA","Healthcare Provider","3861","01/16/2014","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No","Two former employees of the covered entity (CE), Sentara Healthcare, accessed protected health information (PHI) outside of their normal job duties and used this information to process fraudulent tax returns.  The US Attorney’s office investigated the matter and both individuals received prison sentences. The breach report indicated that the PHI of approximately 3,645 individuals was involved in the breach; however, the CE verified that the final count of affected individuals was 3,891. The CE provided breach notification to HHS, affected individuals, and the media. The CE also offered complimentary credit monitoring and identity theft protection services to all eligible individuals.  Following this incident, the CE increased safeguards by installing a new software system to help monitor and detect inappropriate access to its electronic medical records system, updated its security policies and procedures, re-trained employees, and initiated steps to address and mitigate the issues identified in its 2014 risk analysis.  OCR obtained assurances that the corrective actions listed above were completed and/or initiated as described."
"Health Dimensions","MI","Healthcare Provider","5370","01/16/2014","Theft","Network Server","No","\N"
"COMPLETE MEDICAL HOMECARE","KS","Healthcare Provider","1700","01/21/2014","Unauthorized Access/Disclosure","Other Portable Electronic Device","No","\N"
"Hospital for Special Surgery","NY","Healthcare Provider","937","01/21/2014","Theft","Desktop Computer, Paper/Films","No","\N"
"The Brooklyn Hospital Center","NY","Healthcare Provider","2172","01/22/2014","Loss","Other Portable Electronic Device","No","\N"
"Geisinger Bloomsburg Hospital","PA","Healthcare Provider","3101","01/23/2014","Loss","Paper/Films","No","Archived protected health information (PHI) for 3,101 individuals could not be located by the CE, Geisinger Bloomsburg Hospital, after it was acquired by Geisinger, although copies of the PHI were available.  There was no evidence that the PHI had been impermissibly disclosed or stolen.  OCR provided the CE with information on what constitutes a breach under the Breach Notification Rule.  The CE posted notice on its website and notified the media and patients although there was no indication that PHI had been accessed, used, or disclosed.  The CE also re-trained staff on safeguards and proper disposal of PHI and stated that additional corrective steps would be taken to reinforce privacy practices in its new facility. "
"Robert B. Neves, M.D.","CA","Business Associate","611","01/24/2014","Theft","Laptop","Yes",""
"Triple-S Salud, Inc. - Breach Case#2","","Health Plan","398000","01/24/2014","Theft","Network Server","Yes","Triple-S Management Corporation (“TRIPLE-S”), on behalf of its wholly owned subsidiaries, Triple-S Salud Inc., Triple-C Inc. and Triple-S Advantage Inc. , formerly known as American Health Medicare Inc., has agreed to settle potential violations of the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules with the U.S. Department of Health and Human Services, Office for Civil Rights (OCR).  TRIPLE-S will pay $3.5 million and will adopt a robust corrective action plan to correct deficiencies in its HIPAA compliance program, an effort it has already begun.

“OCR remains committed to strong enforcement of the HIPAA Rules,” said OCR Director Jocelyn Samuels. “This case sends an important message for HIPAA Covered Entities not only about compliance with the requirements of the Security Rule, including risk analysis, but compliance with the requirements of the Privacy Rule, including those addressing business associate agreements and the minimum necessary use of protected health information.”

TRIPLE-S is an insurance holding company based in San Juan, Puerto Rico, which offers a wide range of insurance products and services to residents of Puerto Rico through its subsidiaries.  TRIPLE-S has fully cooperated with HHS in investigating this case and has agreed to put in place a comprehensive HIPAA compliance program as a condition for settlement.  

After receiving multiple breach notifications from TRIPLE-S involving unsecured protected health information (PHI), OCR initiated investigations to ascertain the entities’ compliance with HIPAA Rules. OCR’s investigations indicated widespread non-compliance throughout the various subsidiaries of Triple-S, including:

Failure to implement appropriate administrative, physical, and technical safeguards to protect the privacy of its beneficiaries’ PHI;
Impermissible disclosure of its beneficiaries’ PHI to an outside vendor with which it did not have an appropriate business associate agreement;
Use or Disclosure of more PHI than was necessary to carry out mailings;
Failure to conduct an accurate and thorough risk analysis that incorporates all IT equipment, applications, and data systems utilizing ePHI; and
Failure to implement security measures sufficient to reduce the risks and vulnerabilities to its ePHI to a reasonable and appropriate level.
The settlement requires TRIPLE-S to establish a comprehensive compliance program designed to protect the security, confidentiality, and integrity of the personal information it collects from its beneficiaries, that includes:

A risk analysis and a risk management plan;
A process to evaluate and address any environmental or operational changes that affect the security of the ePHI it holds;
Policies and procedures to facilitate compliance with requirements of the HIPAA Rules; and
A training program covering the requirements of the Privacy, Security, and Breach Notification Rules, intended to be used for all members of the workforce and business associates providing services on TRIPLE-S premises.
Triple-S, with the help of OCR through its technical assistance, had already begun to take extensive corrective action, as required by the Corrective Action Plan, and will continue to work with OCR to come into compliance with HIPAA.

“Triple-S is committed to protecting the privacy and security of its beneficiaries’ health information and implementing the Corrective Action Plan entered into with OCR,” said President and CEO of Triple-S Management Corporation, Ramon M. Ruiz.  “We are pleased with the agreement and regard it as an opportunity to strengthen our privacy policies. We have appreciated OCR’s technical assistance to date, and look forward to our collaboration in the future.”
"
